"ID"	"Label"	"Dataset"
260	"Table 6.22A. Corporate Capital Consumption Allowances by Industry (A)"	"NIPA"
261	"Table 6.22B. Corporate Capital Consumption Allowances by Industry (A)"	"NIPA"
262	"Table 6.22C. Corporate Capital Consumption Allowances by Industry (A)"	"NIPA"
263	"Table 6.22D. Corporate Capital Consumption Allowances by Industry (A)"	"NIPA"
264	"Table 7.1. Selected Per Capita Product and Income Series in Current and Chained Dollars (A) (Q)"	"NIPA"
265	"Table 7.2.1A. Percent Change From Preceding Period in Real Auto Output (A) (Q)"	"NIPA"
266	"Table 7.2.1B. Percent Change from Preceding Period in Real Motor Vehicle Output (A) (Q)"	"NIPA"
267	"Table 7.2.3A. Real Auto Output, Quantity Indexes (A) (Q)"	"NIPA"
268	"Table 7.2.3B. Real Motor Vehicle Output, Quantity Indexes (A) (Q)"	"NIPA"
269	"Table 7.2.4A. Price Indexes for Auto Output (A) (Q)"	"NIPA"
270	"Table 7.2.4B. Price Indexes for Motor Vehicle Output (A) (Q)"	"NIPA"
271	"Table 7.2.5A. Auto Output (A) (Q)"	"NIPA"
272	"Table 7.2.5B. Motor Vehicle Output (A) (Q)"	"NIPA"
273	"Table 7.2.6B. Real Motor Vehicle Output, Chained Dollars (A) (Q)"	"NIPA"
274	"Table 7.3.3. Real Farm Sector Output, Real Gross Value Added, and Real Net Value Added, Quantity Indexes (A)"	"NIPA"
275	"Table 7.3.4. Price Indexes for Farm Sector Output, Gross Value Added, and Net Value Added (A)"	"NIPA"
276	"Table 7.3.5. Farm Sector Output, Gross Value Added, and Net Value Added (A)"	"NIPA"
277	"Table 7.3.6. Real Farm Sector Output, Real Gross Value Added, and Real Net Value Added, Chained Dollars (A)"	"NIPA"
278	"Table 7.4.3. Real Housing Sector Output, Real Gross Value Added, and Real Net Value Added, Quantity Indexes (A)"	"NIPA"
279	"Table 7.4.4. Price Indexes for Housing Sector Output, Gross Value Added, and Net Value Added (A)"	"NIPA"
280	"Table 7.4.5. Housing Sector Output, Gross Value Added, and Net Value Added (A)"	"NIPA"
281	"Table 7.4.6. Real Housing Sector Output, Real Gross Value Added, and Real Net Value Added, Chained Dollars (A)"	"NIPA"
282	"Table 7.5. Consumption of Fixed Capital by Legal Form of Organization and Type of Income (A) (Q)"	"NIPA"
283	"Table 7.6. Capital Consumption Adjustment by Legal Form of Organization and Type of Adjustment (A)"	"NIPA"
284	"Table 7.7. Business Current Transfer Payments by Type (A)"	"NIPA"
285	"Table 7.8. Supplements to Wages and Salaries by Type (A)"	"NIPA"
286	"Table 7.9. Rental Income of Persons by Legal Form of Organization and by Type of Income (A)"	"NIPA"
287	"Table 7.10. Dividends Paid and Received by Sector (A)"	"NIPA"
288	"Table 7.11. Interest Paid and Received by Sector and Legal Form of Organization (A)"	"NIPA"
289	"Table 7.12. Imputations in the National Income and Product Accounts (A)"	"NIPA"
290	"Table 7.13. Relation of Consumption of Fixed Capital in the National Income and Product Accounts to Depreciation and Amortization as Published by the Internal Revenue Service (A)"	"NIPA"
291	"Table 7.14. Relation of Nonfarm Proprietors' Income in the National Income and Product Accounts to Corresponding Measures as Published by the Internal Revenue Service (A)"	"NIPA"
292	"Table 7.15. Relation of Net Farm Income in the National Income and Product Accounts to Net Farm Income as Published by the U.S. Department of Agriculture (A)"	"NIPA"
293	"Table 7.16. Relation of Corporate Profits, Taxes, and Dividends in the National Income and Product Accounts to Corresponding Measures as Published by the Internal Revenue Service (A)"	"NIPA"
294	"Table 7.17. Relation of Monetary Interest Paid and Received in the National Income and Product Accounts to Corresponding Measures as Published by the Internal Revenue Service (A)"	"NIPA"
295	"Table 7.18. Relation of Wages and Salaries in the National Income and Product Accounts to Wages and Salaries as Published by the Bureau of Labor Statistics (A)"	"NIPA"
296	"Table 7.20. Transactions of Defined Benefit and Defined Contribution Pension Plans (A)"	"NIPA"
297	"Table 7.19. Comparison of Income and Outlays of Nonprofit Institutions Serving Households with Revenue and Expenses as Published by the Internal Revenue Service (A)"	"NIPA"
310	"Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago (Q)"	"NIPA"
316	"Table 1.17.1. Percent Change From Preceding Period in Real Gross Domestic Product, Real Gross Domestic Income, and Other Major NIPA Aggregates (A) (Q)"	"NIPA"
317	"Table 1.17.5. Gross Domestic Product, Gross Domestic Income, and Other Major NIPA Aggregates (A) (Q)"	"NIPA"
318	"Table 1.17.6. Real Gross Domestic Product, Real Gross Domestic Income, and Other Major NIPA Aggregates, Chained Dollars (A) (Q)"	"NIPA"
326	"Table 3.11.2. Contributions to Percent Change From Preceding Period in Real National Defense Consumption Expenditures and Gross Investment by Type (A) (Q)"	"NIPA"
327	"Table 5.6.1. Percent Change from Preceding Period in Real Private Fixed Investment in Intellectual Property Products by Type (A)"	"NIPA"
328	"Table 5.6.2. Contributions to Percent Change in Private Fixed Investment in Intellectual Property Products by Type (A)"	"NIPA"
329	"Table 5.6.3. Real Private Fixed Investment in Intellectual Property Products by Type, Quantity Indexes (A)"	"NIPA"
330	"Table 5.6.4. Price Indexes for Private Fixed Investment in Intellectual Property Products by Type (A)"	"NIPA"
331	"Table 5.6.5. Private Fixed Investment in Intellectual Property Products by Type (A)"	"NIPA"
332	"Table 5.6.6. Real Private Fixed Investment in Intellectual Property Products by Type, Chained Dollars (A)"	"NIPA"
333	"Table 5.8.9A. Implicit Price Deflators for Private Inventories by Industry (Q)"	"NIPA"
334	"Table 5.8.9B. Implicit Price Deflators for Private Inventories by Industry (Q)"	"NIPA"
335	"Table 5.9.3A. Real Gross Government Fixed Investment by Type, Quantity Indexes (A)"	"NIPA"
336	"Table 5.9.3B. Real Gross Government Fixed Investment by Type, Quantity Indexes (A)"	"NIPA"
337	"Table 5.9.4A. Price Indexes for Gross Government Fixed Investment by Type (A)"	"NIPA"
338	"Table 5.9.4B. Price Indexes for Gross Government Fixed Investment by Type (A)"	"NIPA"
339	"Table 5.9.5A. Gross Government Fixed Investment by Type (A)"	"NIPA"
340	"Table 5.9.5B. Gross Government Fixed Investment by Type (A)"	"NIPA"
342	"Table 5.9.6B. Real Gross Government Fixed Investment by Type, Chained Dollars (A)"	"NIPA"
343	"Table 5.11. Capital Transfers Paid and Received, by Sector and by Type (A)"	"NIPA"
392	"Table 7.21. Transactions of Defined Benefit Pension Plans (A)"	"NIPA"
393	"Table 7.22. Transactions of Private Defined Benefit Pension Plans (A)"	"NIPA"
394	"Table 7.23. Transactions of Federal Government Defined Benefit Pension Plans (A)"	"NIPA"
395	"Table 7.24. Transactions of State and Local Government Defined Benefit Pension Plans (A)"	"NIPA"
397	"Table 7.25. Transactions of Defined Contribution Pension Plans (A)"	"NIPA"
16	"Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
17	"Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
18	"Table 2.1. Current-Cost Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
19	"Table 2.2. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
21	"Table 3.1E. Current-Cost Net Stock of Private Equipment by Industry (A)"	"FixedAssets"
22	"Table 3.1S. Current-Cost Net Stock of Private Structures by Industry (A)"	"FixedAssets"
24	"Table 3.2E. Chain-Type Quantity Indexes for Net Stock of Private Equipment by Industry (A)"	"FixedAssets"
25	"Table 3.2S. Chain-Type Quantity Indexes for Net Stock of Private Structures by Industry (A)"	"FixedAssets"
26	"Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
27	"Table 4.2. Chain-Type Quantity Indexes for Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
28	"Table 5.1. Current-Cost Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
29	"Table 5.2. Chain-Type Quantity Indexes for Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
30	"Table 7.1B. Current-Cost Net Stock of Government Fixed Assets (A)"	"FixedAssets"
31	"Table 7.2B. Chain-Type Quantity Indexes for Net Stock of Government Fixed Assets (A)"	"FixedAssets"
32	"Table 8.1. Current-Cost Net Stock of Consumer Durable Goods (A)"	"FixedAssets"
33	"Table 8.2. Chain-Type Quantity Indexes for Net Stock of Consumer Durable Goods (A)"	"FixedAssets"
34	"Table 9.1. Real Net Stock of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
35	"Table 7.1A. Current-Cost Net Stock of Government Fixed Assets, 1925-1996 (A)"	"FixedAssets"
36	"Table 7.2A. Chain-Type Quantity Indexes for Net Stock of Government Fixed Assets, 1925-1996 (A)"	"FixedAssets"
41	"Table 6.1. Current-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
42	"Table 2.3. Historical-Cost Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
44	"Table 3.3E. Historical-Cost Net Stock of Private Equipment by Industry (A)"	"FixedAssets"
45	"Table 3.3S. Historical-Cost Net Stock of Private Structures by Industry (A)"	"FixedAssets"
46	"Table 4.3. Historical-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
47	"Table 5.3. Historical-Cost Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
48	"Table 6.2. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
49	"Table 6.3. Historical-Cost Net Stock of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
50	"Table 8.3. Historical-Cost Net Stock of Consumer Durable Goods (A)"	"FixedAssets"
51	"Table 2.7. Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
52	"Table 2.8. Chain-Type Quantity Indexes for Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
54	"Table 3.7E. Investment in Private Equipment by Industry (A)"	"FixedAssets"
55	"Table 3.7S. Investment in Private Structures by Industry (A)"	"FixedAssets"
57	"Table 3.8E. Chain-Type Quantity Indexes for Investment in Private Equipment by Industry (A)"	"FixedAssets"
58	"Table 3.8S. Chain-Type Quantity Indexes for Investment in Private Structures by Industry (A)"	"FixedAssets"
59	"Table 4.7. Investment in Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
60	"Table 4.8. Chain-Type Quantity Indexes for Investment in Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
61	"Table 6.7. Investment in Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
62	"Table 6.8. Chain-Type Quantity Indexes for Investment in Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
63	"Table 8.7. Investment in Consumer Durable Goods (A)"	"FixedAssets"
64	"Table 8.8. Chain-Type Quantity Indexes for Investment in Consumer Durable Goods (A)"	"FixedAssets"
65	"Table 2.4. Current-Cost Depreciation of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
66	"Table 2.5. Chain-Type Quantity Indexes for Depreciation of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
67	"Table 2.6. Historical-Cost Depreciation of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
69	"Table 3.4E. Current-Cost Depreciation of Private Equipment by Industry (A)"	"FixedAssets"
70	"Table 3.4S. Current-Cost Depreciation of Private Structures by Industry (A)"	"FixedAssets"
72	"Table 3.5E. Chain-Type Quantity Indexes for Depreciation of Private Equipment by Industry (A)"	"FixedAssets"
73	"Table 3.5S. Chain-Type Quantity Indexes for Depreciation of Private Structures by Industry (A)"	"FixedAssets"
75	"Table 3.6E. Historical-Cost Depreciation of Private Equipment by Industry (A)"	"FixedAssets"
76	"Table 3.6S. Historical-Cost Depreciation of Private Structures by Industry (A)"	"FixedAssets"
77	"Table 4.4. Current-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
78	"Table 4.5. Chain-Type Quantity Indexes for Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
79	"Table 4.6. Historical-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
80	"Table 6.4. Current-Cost Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
81	"Table 6.5. Chain-Type Quantity Indexes for Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
82	"Table 6.6. Historical-Cost Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
83	"Table 8.4. Current-Cost Depreciation of Consumer Durable Goods (A)"	"FixedAssets"
84	"Table 8.5. Chain-Type Quantity Indexes for Depreciation of Consumer Durable Goods (A)"	"FixedAssets"
85	"Table 8.6. Historical-Cost Depreciation of Consumer Durable Goods (A)"	"FixedAssets"
86	"Table 1.3. Current-Cost Depreciation of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
87	"Table 1.4. Chain-Type Quantity Indexes for Depreciation of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
88	"Table 5.4. Current-Cost Depreciation of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
89	"Table 5.5. Chain-Type Quantity Indexes for Depreciation of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
90	"Table 5.6. Historical-Cost Depreciation of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
91	"Table 7.3A. Current-Cost Depreciation of Government Fixed Assets, 1925-1996 (A)"	"FixedAssets"
92	"Table 7.3B. Current-Cost Depreciation of Government Fixed Assets (A)"	"FixedAssets"
93	"Table 7.4A. Chain-Type Quantity Indexes for Depreciation of Government Fixed Assets, 1925-1996 (A)"	"FixedAssets"
94	"Table 7.4B. Chain-Type Quantity Indexes for Depreciation of Government Fixed Assets (A)"	"FixedAssets"
95	"Table 9.2. Real Depreciation of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
96	"Table 1.5. Investment in Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
97	"Table 1.6. Chain-Type Quantity Indexes for Investment in Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
98	"Table 5.7. Investment in Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
99	"Table 5.8. Chain-Type Quantity Indexes for Investment in Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
100	"Table 7.5A. Investment in Government Fixed Assets, 1901-1996 (A)"	"FixedAssets"
101	"Table 7.5B. Investment in Government Fixed Assets (A)"	"FixedAssets"
102	"Table 7.6A. Chain-Type Quantity Indexes for Investment in Government Fixed Assets, 1901-1996 (A)"	"FixedAssets"
103	"Table 7.6B. Chain-Type Quantity Indexes for Investment in Government Fixed Assets (A)"	"FixedAssets"
104	"Table 9.3. Real Investment in Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
105	"Table 1.7. Current-Cost Other Changes in Volume of Assets for Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
106	"Table 2.9. Current-Cost Average Age at Yearend of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
107	"Table 2.10. Historical-Cost Average Age at Yearend of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type (A)"	"FixedAssets"
108	"Table 3.9E. Current-Cost Average Age at Yearend of Private Equipment by Industry (A)"	"FixedAssets"
110	"Table 3.9S. Current-Cost Average Age at Yearend of Private Structures by Industry (A)"	"FixedAssets"
111	"Table 3.10E. Historical-Cost Average Age at Yearend of Private Equipment by Industry (A)"	"FixedAssets"
113	"Table 3.10S. Historical-Cost Average Age at Yearend of Private Structures by Industry (A)"	"FixedAssets"
114	"Table 4.9. Current-Cost Average Age at Yearend of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
115	"Table 4.10. Historical-Cost Average Age at Yearend of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
116	"Table 5.9. Current-Cost Average Age at Yearend of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
117	"Table 5.10. Historical-Cost Average Age at Yearend of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group (A)"	"FixedAssets"
118	"Table 6.9. Current-Cost Average Age at Yearend of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
119	"Table 6.10. Historical-Cost Average Age at Yearend of Private Fixed Assets by Industry Group and Legal Form of Organization (A)"	"FixedAssets"
120	"Table 7.7A. Current-Cost Average Age at Yearend of Government Fixed Assets, 1925-1996 (A)"	"FixedAssets"
121	"Table 7.7B. Current-Cost Average Age at Yearend of Government Fixed Assets (A)"	"FixedAssets"
122	"Table 8.9. Current-Cost Average Age at Yearend of Consumer Durable Goods (A)"	"FixedAssets"
123	"Table 8.10. Historical-Cost Average Age at Yearend of Consumer Durable Goods (A)"	"FixedAssets"
124	"Table 1.8. Historical-Cost Other Changes in Volume of Assets for Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
125	"Table 1.9. Current-Cost Average Age at Yearend of Fixed Assets and Consumer Durable Goods (A)"	"FixedAssets"
126	"Table 3.1ESI. Current-Cost Net Stock of Private Fixed Assets by Industry (A)"	"FixedAssets"
127	"Table 3.1I. Current-Cost Net Stock of Intellectual Property Products by Industry (A)"	"FixedAssets"
128	"Table 3.2ESI. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets by Industry (A)"	"FixedAssets"
129	"Table 3.2I. Chain-Type Quantity Indexes for Net Stock of Intellectual Property Products by Industry (A)"	"FixedAssets"
130	"Table 3.3ESI. Historical-Cost Net Stock of Private Fixed Assets by Industry (A)"	"FixedAssets"
131	"Table 3.3I. Historical-Cost Net Stock of Private Intellectual Property Products by Industry (A)"	"FixedAssets"
132	"Table 3.4ESI. Current-Cost Depreciation of Private Fixed Assets by Industry (A)"	"FixedAssets"
133	"Table 3.4I. Current-Cost Depreciation of Private Intellectual Property Products by Industry (A)"	"FixedAssets"
134	"Table 3.5ESI. Chain-Type Quantity Indexes for Depreciation of Private Fixed Assets by Industry (A)"	"FixedAssets"
135	"Table 3.5I. Chain-Type Quantity Indexes for Depreciation of Private Intellectual Property Products by Industry (A)"	"FixedAssets"
136	"Table 3.6ESI. Historical-Cost Depreciation of Private Fixed Assets by Industry (A)"	"FixedAssets"
137	"Table 3.6I. Historical-Cost Depreciation of Private Intellectual Property Products by Industry (A)"	"FixedAssets"
138	"Table 3.7ESI. Investment in Private Fixed Assets by Industry (A)"	"FixedAssets"
139	"Table 3.7I. Investment in Private Intellectual Property Products by Industry (A)"	"FixedAssets"
140	"Table 3.8ESI. Chain-Type Quantity Indexes for Investment in Private Fixed Assets by Industry (A)"	"FixedAssets"
141	"Table 3.8I. Chain-Type Quantity Indexes for Investment in Private Intellectual Property Products by Industry (A)"	"FixedAssets"
142	"Table 3.9ESI. Current-Cost Average Age at Yearend of Private Fixed Assets by Industry (A)"	"FixedAssets"
143	"Table 3.9I. Current-Cost Average Age at Yearend of Private Intellectual Property Products by Industry (A)"	"FixedAssets"
144	"Table 3.10ESI. Historical-Cost Average Age at Yearend of Private Fixed Assets by Industry (A)"	"FixedAssets"
145	"Table 3.10I. Historical-Cost Average Age at Yearend of Private Intellectual Property Products by Industry (A)"	"FixedAssets"
